Business_Name,Address,Telephone,Fax,Website,Description
3 Shires Garden Centre,"Ledbury Road, Newent, GL18 1DL, United Kingdom",01531820941,01531 822824,,
A G Meale & Sons Ltd,"Wayford, Norwich, NR12 9LJ, United Kingdom",01692580226,01692 581523,,
ACW Garden Centre,"Canal Road, Bradford, BD2 1AL, United Kingdom",01274392344,01274 733112,,"After our major refurbishment for 2001 we are Bradford's largest garden, lawnmower and aquatic specialist with a new improved shop including new coffee shop, extended and improved large well stocked plant area, an extensive range of lawnmowers are sold and serviced. Approximately 60 car park spaces."
Abbotsbury Sub-Tropical Gardens,"Bullers Way, Abbotsbury, Weymouth, DT3 4LA, United Kingdom",01305871412,01305 871092,http://www.abbotsbury-tourism.co.uk,"Abbotsbury Sub Tropical Gardens lie less than a mile from Chesil, Beach where there is an ideal climate for the botanical treasures of rare and exotic plants from all over the world to thrive. First created in 1765 this historic collection continues to expand as even more unusual plants are introduced. Visitors can purchase plants from the Plant Centre or Mail Order Catalogue. There is a Colonial Tea House serving snacks and lunches and a superb Gift Shop. The Garden is open to visitors all year round."
Abercorn Plant & Garden Centre,"Beehive Lane, Chelmsford, CM2 8LX, United Kingdom",01245257398,,http://www.abercorn.uk.com,The Garden Centre with the most impressive range of plants and gardening products in the Chelmsford area. Knowledgeable and friendly staff always happy to help. Large car park and easy access.
Abergavenny Garden Centre Ltd,"Evesham Gardens, Church Lane, Llanfoist, Abergavenny, NP7 9LF, United Kingdom",01873853839,01873 854300,http://www.abergavennygardencentre.com,"For over half a century McDonalds Nursery and Garden Centre has been providing fruit and ornamental trees, shrubs, perennials, alpines, heathers and bedding plants, together with personal service. A wide selection of potatoes, seeds and onion sets are sold lose as well as spring bulbs. A selection of year round hanging baskets and planters are available or ordered to individual requirements. At Christmas there are wide range of Christmas trees, holy wreaths and door garlands made to order together with mistle toe and holly. Open seven days a week, house plants, cut flowers and floristry available all year round."
Abi and Tomâ€™s Garden Plants,"Halecat Nursery, Witherslack, Grange Over Sands, LA11 6RT, United Kingdom",01539552946,,http://www.abiandtom.co.uk,
Acres Supply Limited,"Corsley Heath, Corsley, Warminster, BA12 7PP, United Kingdom",01373832591,01373 832009,http://www.acressupply.com,"We are a family run garden centre which aims to be somewhat different from others. Having been in the landscape and gardening business for over 37 years. We aim to provide for all aspects of gardening needs. We carry over 1500 various pots, urns, wall plaques and statues from more than 45 different manufactures. One of the widest selections of stoneware in the west of England. Bronze and cast iron statues widen our range from other competitors. Pond liners, pumps, fillers, fish food, also shrubs, trees, herbs, rockery plants, herbaceous, completes our garden centre."
Adrian Hall Garden Centre,"Sheen Garden Centre, 181-189 Upper Richmond Rd West, East Sheen, SW14 8DU, United Kingdom",02088763648,020 8876 9636,,
Adrian Hall Garden Centre,"The Garden Centre, Snakey Lane, Feltham, TW13 7ND, United Kingdom",02087517600,020 8844 1732,http://www.adrianhall.co.uk,Specialist supplier of garden construction materials  with paving display gardens. Incredible selection of pots and planting containers from top manufacturers worldwide. Extensive offering of garden sundries and plants. The stock is vast varied and often quite unique.
Aero Nurseries,"Harker Road End, Rockcliffe, Carlisle, CA6 4HQ, United Kingdom",01228674612,01228 674852,http://www.aero-aquatic-nurseries.co.uk,
